name,ticker,operationType,date,isMarginCall,instrumentType,figi,payment,currency,status,id,quantity,quantityExecuted,price
,,PayIn,2020-09-01,,Currency,,69322.7,RUB,,,,,1
Ozon,OZON,Dividend,2020-09-09,,Stock,OZON,45605.7,RUB,,,,,
Sberbank AO,SBER,Buy,2020-09-10,,Stock,SBER,-61061.34,RUB,,,280,280,218.0762143
Sberbank AO,SBER,Dividend,2020-10-21,,Stock,SBER,4560,RUB,,,,,
Sberbank AO,SBER,Buy,2020-11-03,,Stock,SBER,-4139.31,RUB,,,20,20,206.9655
Gazprom Pref,GAZP,Buy,2020-11-17,,Stock,GAZP,-3677.74,RUB,,,20,20,183.887
Globaltrans,GLTR,Buy,2020-11-17,,Stock,GLTR,-69370.45,RUB,,,150,150,462.4696667
Globaltrans,SBER,Sell,2020-11-17,,Stock,SBER,74094.68,RUB,,,300,300,246.9822667
Ozon,OZON,Dividend,2020-12-01,,Stock,OZON,20887.3,RUB,,,,,
,,PayOut,2020-12-03,,Currency,,-1014.81,RUB,,,,,1
Aeroflot,AFLT,Buy,2020-12-03,,Stock,AFLT,-21314.64,RUB,,,290,290,73.49875862
Gazprom Pref,GAZP,Sell,2020-12-25,,Stock,GAZP,4093.72,RUB,,,20,20,204.686
Aeroflot,AFLT,Sell,2020-12-25,,Stock,AFLT,19970.81,RUB,,,290,290,68.86486207
Globaltrans,GLTR,Sell,2020-12-25,,Stock,GLTR,66425.96,RUB,,,150,150,442.8397333
NLMK Steel,NLMK,Buy,2020-12-25,,Stock,NLMK,-86808.59,RUB,,,390,390,222.5861282
Novatek,NVTK,Buy,2020-12-30,,Stock,NVTK,-3761.4,RUB,,,3,3,1253.8
Globaltrans,GLTR,Buy,2020-12-30,,Stock,GLTR,-45761.58,RUB,,,100,100,457.6158
LukOil,LKOH,Buy,2020-12-30,,Stock,LKOH,-88215.52,RUB,,,17,17,5189.148235
Sberbank AO,SBER,Buy,2020-12-30,,Stock,SBER,-106160.96,RUB,,,390,390,272.2075897
Gazprom Pref,GAZP,Buy,2020-12-30,,Stock,GAZP,-108752.82,RUB,,,510,510,213.2408235
,,PayIn,2020-12-30,,Currency,,300000,RUB,,,,,1
,,PayIn,2020-12-30,,Currency,,50000,RUB,,,,,1
NLMK Steel,NLMK,Dividend,2021-01-15,,Stock,NLMK,2181,RUB,,,,,
LukOil,LKOH,Sell,2021-01-18,,Stock,LKOH,99930.99,RUB,,,17,17,5878.293529
Gazprom Pref,GAZP,Sell,2021-01-18,,Stock,GAZP,114648.01,RUB,,,510,510,224.8000196
Ozon,OZON,Buy,2021-01-18,,Stock,OZON,-215061.91,RUB,,,57,57,3773.015965
Ozon,OZON,Dividend,2021-01-19,,Stock,OZON,24715,RUB,,,,,
Novatek,NVTK,Sell,2021-01-26,,Stock,NVTK,4067.94,RUB,,,3,3,1355.98
Globaltrans,GLTR,Sell,2021-01-26,,Stock,GLTR,53042.18,RUB,,,100,100,530.4218
PhosAgro,PHOR,Buy,2021-01-26,,Stock,PHOR,-58239.37,RUB,,,16,16,3639.960625
Sberbank AO,SBER,Buy,2021-02-02,,Stock,SBER,-13267.42,RUB,,,50,50,265.3484
Globaltrans,GLTR,Buy,2021-02-02,,Stock,GLTR,-210560.34,RUB,,,410,410,513.5618049
Ozon,OZON,Sell,2021-02-02,,Stock,OZON,224163.05,RUB,,,57,57,3932.685088
NLMK Steel,NLMK,Buy,2021-02-17,,Stock,NLMK,-2081.46,RUB,,,10,10,208.146
DVMP,FESH,Buy,2021-02-17,,Stock,FESH,-145926.19,RUB,,,12500,12500,11.6740952
Ozon,OZON,Buy,2021-02-17,,Stock,OZON,-386042.16,RUB,,,80,80,4825.527
,,PayIn,2021-02-17,,Currency,,520075.76,RUB,,,,,
PhosAgro,PHOR,Sell,2021-02-26,,Stock,PHOR,64410.98,RUB,,,16,16,4025.68625
,,PayIn,2021-03-01,,Currency,,541130,RUB,,,,,
,,PayIn,2021-03-01,,Currency,,868271.9,RUB,,,,,
Ozon,OZON,Buy,2021-03-01,,Stock,OZON,-9085.36,RUB,,,2,2,4542.68
NLMK Steel,NLMK,Sell,2021-03-01,,Stock,NLMK,88609.93,RUB,,,400,400,221.524825
Sberbank AO,SBER,Sell,2021-03-01,,Stock,SBER,119493.15,RUB,,,440,440,271.5753409
DVMP,FESH,Buy,2021-03-01,,Stock,FESH,-221383.87,RUB,,,18000,18000,12.29910389
Transneft AP,TRNFP,Buy,2021-03-01,,Stock,TRNFP,-287250.93,RUB,,,2,2,143625.465
AFK Sistema,AFKS,Buy,2021-03-01,,Stock,AFKS,-305595.34,RUB,,,8600,8600,35.53434186
Globaltrans,GLTR,Buy,2021-03-01,,Stock,GLTR,-369334.35,RUB,,,730,730,505.9374658
Bank VTB,VTBR,Buy,2021-03-01,,Stock,VTBR,-374074.78,RUB,,,10000000,10000000,0.037407478
Ozon,OZON,Dividend,2021-03-01,,Stock,OZON,18187.85,RUB,,,,,
Ozon,OZON,Buy,2021-03-02,,Stock,OZON,-18680.79,RUB,,,4,4,4670.1975
AFK Sistema,AFKS,Buy,2021-03-03,,Stock,AFKS,-21409.25,RUB,,,600,600,35.68208333
Ozon,OZON,Dividend,2021-03-10,,Stock,OZON,45605.7,RUB,,,,,
,,PayIn,2021-03-10,,Currency,,263795.1,RUB,,,,,
DVMP,FESH,Buy,2021-03-10,,Stock,FESH,-4743.26,RUB,,,400,400,11.85815
OGK-2,OGKB,Buy,2021-03-10,,Stock,OGKB,-260320.09,RUB,,,322000,322000,0.808447484
OGK-2,OGKB,Buy,2021-03-12,,Stock,OGKB,-55458.22,RUB,,,70000,70000,0.792260286
Moesk,MSRS,Buy,2021-03-12,,Stock,MSRS,-306855.93,RUB,,,250000,250000,1.22742372
Norilsk Nickel,GMKN,Buy,2021-03-12,,Stock,GMKN,-496953.63,RUB,,,21,21,23664.45857
,,PayIn,2021-03-12,,Currency,,878416.3,RUB,,,,,
KuybyshevAzot,KAZTP,Buy,2021-03-15,,Stock,KAZTP,-314002.34,RUB,,,1820,1820,172.5287582
Moesk,MSRS,Sell,2021-03-15,,Stock,MSRS,307805.72,RUB,,,250000,250000,1.23122288
Transneft AP,TRNFP,Sell,2021-03-17,,Stock,TRNFP,290885.01,RUB,,,2,2,145442.505
Norilsk Nickel,GMKN,Sell,2021-03-17,,Stock,GMKN,468931.58,RUB,,,21,21,145442.505
UC RUSAL,RUAL,Buy,2021-03-17,,Stock,RUAL,-759949.79,RUB,,,17180,17180,44.23456286
UC RUSAL,RUAL,Buy,2021-03-22,,Stock,RUAL,-6105.09,RUB,,,130,130,46.96223077
Ozon,OZON,Sell,2021-03-22,,Stock,OZON,362636.32,RUB,,,86,86,4216.701395
Nefaz,NFAZ,Buy,2021-03-22,,Stock,NFAZ,-370503.15,RUB,,,1030,1030,359.7117961
PAO Zil,ZILL,Buy,2021-04-02,,Stock,ZILL,-104023.53,RUB,,,27,27,3852.723333
,,PayIn,2021-04-02,,Currency,,105000,RUB,,,,,
Inter RAO,IRAO,Buy,2021-05-11,,Stock,IRAO,-12736.45,RUB,,,2500,2500,5.09458
TGK-1,TGKA,Buy,2021-05-11,,Stock,TGKA,-239570.42,RUB,,,19700000,19700000,0.012160935
Bank VTB,VTBR,Sell,2021-05-11,,Stock,VTBR,250828.45,RUB,,,5000000,5000000,0.05016569
Globaltrans,GLTR,Dividend,2021-05-17,,Stock,GLTR,29952,RUB,,,,,
Bank VTB,VTBR,Buy,2021-05-18,,Stock,VTBR,-29289.83,RUB,,,630000,630000,0.046491794
